32    0.002
64    0.004
128   0.012
256   0.050
512   0.283
768   0.996
1024  14.309
1280  69.880
1536  157.042
1792  265.216
2048  393.969
2304  601.633
2560  873.706
2816  1202.429
3072  1619.504
